№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
162,-,-,"Оказалось, что я помню то, что было после моего трехлетия, где-то 86-87 годы. 
 
Мы тогда жили в Монголии. Помню соседей, помню, как на кровати прыгали с соседским мальчиком Виталиком, у него дома. Ему потом родители шкуру на попе-то спустили как следует. С другим мальчиком, Никитой, играли у него дома в футбол большим мячом, и больше меня к этому Никите почему-то не звали. 
 
А еще помню кастрюлю колбасок в тесте, которые сделала моя мама. Ах, какие это были волшебные колбаски, в каком чудесном тесте! Мама собирала их с противня в алюминиевую кастрюлю и накрывала полотенцем. И, кажется, эти колбаски делала она всего один раз. 
 
Еще помню, когда мы жили в коммуналке, пока дом не построили наш, у соседской девочки была книга ""Почемучка"" – в серой обложке, и со слоном, и с сотами на обложке. Ууу, это все, это был финиш. Эта книга была для меня звездой с неба, Великим Сокровищем Мира и самой желанной вещью лет до двенадцати. Дело в том, что книг и игрушек в Монголии тогда не было просто как класс, и у соседей ""Почемучка"" была единственной детской книгой, и девочку приучили обращаться с ней бережно, никому не давать и из комнаты не выносить. Потом, позднее, родители покупали мне очень много книг, но ""Почемучку"" так и не купили, потому что не знали о том, что я мечтаю о ней! 
 
Что из этих воспоминаний было самым ранним, сказать не могу, и мама не помогла. Да она даже колбаски в тесте не помнит, блин.","It turned out that I remember that happened after my third birthday, somewhere in the 1986 or 1987.
We were living in Mongolia. I remember neighbors, and how we were jumping on the bed with the boy next door at his home. Then his parents spanked his bottom, indeed. The other boy, Nikita - we were playing football at his home with a large ball, and after that story they asked me not to come again.
I remember the pan of sausages in the dough, which my mom did. Wow, they were really wonderful, in such a great dough! My mom took them from a baking sheet and put into the aluminum pan covering by a dish towel.
And I suppose she did the sausages only once. I remember when we living in a communal apartment until our house was being built, the neighbor's
daughter had the ""Why?"" book– in a gray cover, with an elephant, and with honeycomb on the cover.
Ooh, that was THAT! This book was for me as a star from the sky, as the Great Treasure of the World and the most desirable thing til twelve birthday. The fact was that in Mongolia you could hardly ever find any book or toy, and the neighbor's ?Why?"" book was the only children's book, and the girl was taught to treat it with care, not to give out and not to take it out of the room.
Then, later, parents bought me many books, but they didn't buy a ""Why"" book, because they couldn't realize that I dreamt of it! I can't say which of these memories was the earliest, and mom doesn't help. She doesn't even remember these sausages in the dough, damn.
",,-,3,>3,место проживания,"активность, игра, еда, лакомство, книга","соседи, мальчики, мама, девочка","алюминиевая кастрюля, колбаски в тесте, полотенце, книга",серый,-,вкус волшебных колбасов в чудесном тесте,восхищение колбасками в тесте,"игра в футбол в комнате, соты на обложке книги, бережное обращение с книгой","коммунальная квартира, кровать, дома знакомых мальчиков",-,-,активное,
163,Алена,Alyona,"Помню, как смотрела мультик по ТВ, про желтого цыпленка. И помню, что у меня он вызвал массу эмоций и даже каких-то мыслей. А сказать я ничего этого не могла, потому что не знала ни одного слова. И вот хорошо запомнила это чувство немоты – при потрясающей внутренней ясности и понимании происходящего. Меня держали на руках, было мне мало, около года.","I remember watching the cartoon on TV, about the yellow chicken. And I remember that it caused a lot of emotion and even some thoughts. But I could say nothing, because I didn't know a single word. And I remember very well that feeling of silence – with stunning inner clarity and understanding of what is happening. I was held in hands, I was little, about a year.",,ж,1,1,неумение говорить,"мультфильм, неумение говорить",цыпленок,-,желтый,-,-,чувство немоты при понимании происходящего,"мультфильм по ТВ про цыпленка, держат на руках",помещение,-,-,пассивное,
164,Андрей,Andrey,"Я помню, как мама в дубленке с большим воротником приехала из Ленинграда и привезла мне много пластмассовых солдатиков (пиратов, ковбойцев и индейцев), а также пушку, которая стреляла резиновыми пульками. Мне было примерно пять лет. Очень яркое воспоминание.","I remember my mother wearing a sheepskin coat with a large collar came from Leningrad and brought me a lot of plastic soldiers (pirates, cowboys and Indians), and a gun that fired rubber bullets. I was about five years old. A very vivid memory.",,м,1,5,-,"возвращение родителя, игрушки",мама,"дубленка с большим воротником, игрушки в виде пластмассовых фигурок, стреляющая резиновыми пульками (игрушка)",-,-,-,-,"приезд мамы, пушка, стреляющая резиновыми пулями",помещение,-,-,пассивное,
165,-,-,"Ярко вспоминаю, как мы с папой едем на велосипеде навестить в больнице младшую сестру и маму. И я радостно повторяю ""едем к осичке-едем к осичке (сестричке)"". Сестре было несколько месяцев, а мне чуть больше двух лет.","Vividly remember my dad and me going on bike to visit my little sister and mom in the hospital. And I happily repeat, ""Going to Osichka, Going to Osichka"" (my sister's name). My sister was only few months, and I was a little more than two years.",,-,1,2,рождение брата/сестры,путь до роддома,"папа, сестра, мама",велосипед,-,собственный голос,-,-,езда на велосипеде с папой,дорога,-,-,активное,
166,-,-,"В общем, самое первое, кажется, это когда мне ровно три, я дома на кухне, яркий-яркий зимний день, в окно слепит солнце, из радио доносится ""в эфире передача в рабочий полдень"", а у няни юбка в мелкую черно-серую клетку. Впрочем, про юбку не уверена – у меня она ассоциируется с няней, но если подумать, кажется, что именно такой костюм был у бабушки. 
 
Потом мы идем гулять, и я рою красной пластмассовой лопаткой ямы в огромном сугробе, на мне такая гадкая шубка из искусственного меха светло-коричневого цвета, я ее ненавидела, и варежки на резинке, пропущенной через рукава, и подпоясана полосатым эластичным ремнем с металлической защелкой. 
 
Потом как мы ездили на машине в роддом забирать маму с новорожденным братом, это мне три с половиной.

И потом как я с ним маленьким играю на диване, хотя тоже не совсем уверена, это настоящее мое воспоминание или сценка с фотографии.","In general, the first thing seems to be when I was three, I was at home in the kitchen, a bright winter day, the sun shines into the window, it comes out of the radio ""Broadcast a show in a working midday"", and the babysitter's skirt is in fine black and gray plaid.
However, I'm not sure about the skirt why it is connected with a babysitter, but if you think about it, it seems that my grandmother has such costume.

Then we went for a walk, and I was digging in a huge snowbank with a red plastic shovel; I me was in disgusting light brown fur coat, I hated it, and in mittens on elastic band passed through the sleeves, and with striped elastic belt with a metal clip.


Then, we traveled by car to the hospital to pick mom with my newborn brother, I was three and a half. And then I was playing with him on the couch, although I'm not quite sure whether it's a real memory or a scene from a photography.
",,ж,4,2; 3.5,рождение брата/сестры,"солнечный свет, прогулка, путь до роддома, игра, ложное воспоминание, фотография","няня, бабушка, мама, новорожденный брат","нянина юбка, пластмассовая лопатка, шуба с искусственным мехом (одежда), варежки на резинке (одежда), полосатый эластичный ремень с металлической защелкой (одежда)","черный, серый, красный, светло-коричневый",радио,-,ненависть к элементу одежды,солнечный свет,"квартира, улица, машина",день,зима,активное,
167,Денис,Denis,"Помню, как на мой день рождения в три года выпивший папа подкинул меня до потолка, и я ударился башкой о потолок. У меня до сих пор башка не ровная.

Еще помню, как в три года я упал с качелей, и они меня ударили в лоб. Помню яркие лампы врачей зашивавших мне лоб (шрам остался до сих пор).

И то, как в четыре года я провалился в колодец и воткнулся макушкой в бетонное дно. Мама меня вытаскивала из колодца и останавливала кровь перекисью водорода.

Еще помню еще, как мы с выпившим папой разбились на мотоцикле. Мне было года четыре тогда, но помню все почему-то в мельчайших подробностях.","I remember my third birthday when my drunken dad threw me to the ceiling and I hit my head against it. My skull isn't smooth still. I remember how I fell off the swing and they hit me in the forehead. I remember bright lights at doctor's sewing my forehead (I have a scar still). And how in four years I fell into the pit and rammed my head into the concrete bottom. Mom pulled me out from the pit and stopped the blood with hydrogen peroxide. I still remember how we crashed on a motorcycle driven by my drunk dad.
I was four years old then, but I remember it - for some reason - in details.
",,м,4,3; 3; 4; 4,день рождения,"выпивший папа, травма, встреча дня рождения, операция, кровь","мама, папа",яркие лампы,кровь,-,-,"боль от удара головой о полоток, боль от удара качелей при падении с них, боль от падения в колодец, разбиться на мотоцикле",-,"квартира, улица, больница, колодец",-,-,активное/пассивное,
168,-,-,"Маму куда-то срочно вызвали, и сестру-грудничка беззубого оставили со мной одних в квартире. Она долго плакала, я подумала, что она проголодалась и стала кормить мякишем черного хлеба. Корки себе, а мякиш ей. Мама приходит, а у сестра лежит, улыбается и хлеб во все стороны. Мне было не больше двух-трех лет.","Mom was urgently called out and she left to me a toothless baby sister to look after alone in the apartment. She was crying for a long time, I thought she was hungry and start feeding her with a crumb of black bread. Crust for me, and crumbs for her. Mom came, and the sister was lying, smiling and surrounded by breadcrumbs. I was no more than two or three years old.",,ж,1,<3,-,кормление,"младшая сестра, мама",хлеб,-,плач сестры-грудничка,-,улыбка сестры,кормить сестру хлебным мякишем,помещение,-,-,активное,
169,Вадим,Vadim,"Помню, что мы с мамой стоим на каком-то большом балконе ночью, посреди города. И еще я немножко помню детскую комнату.","I remember my mother standing on a balcony at night, in the middle of the city. And I remember a little children's room.",,м,2,-,-,балкон,мама,-,-,-,-,-,стояние,"большой балкон, детская комната",ночь,-,пассивное,
170,Наташа,Natasha,"Май, когда мне было 1,7-1,8. Мы с кузиной (она младше меня на полмесяца) чинили коляски. Наши прогулочные коляски лежали на земле, колесами вверх. Я начала крутить эти колеса, и почему-то мне показалось, что это очень важно. Это было такое удивление от того, что нечто приходит в движение от моей руки, по моей воле. И продолжает двигаться, даже когда я убираю руку. Такое действие не могло быть просто так, и я решила, что совершается что-то нужное. Что я, наверное, чиню коляску. Я подозвала кузину и попыталась объяснить ей, как важно крутить эти колеса. Вряд ли я умела уже говорить, но сестра ко мне присоединилась. У нас даже остались фотографии с того дня. Когда я их увидела (уже позже, в сознательном возрасте), удивилась обыденности того действия. Оно десакрализовалось для меня навсегда 
 
Лето, когда мне было от 1,8 до 1,11. Сиверская, где родители и дядя с тетей снимали дачу. Бабушка берет меня на руки и несет в дом. Я с высоты ее роста вижу в траве мою игрушку – улитку на колесиках. Помню мое удивление, не знаю почему. От узнавания, должно быть. Я показываю бабушке на улитку, чтобы она тоже удивилась. Бабушка отвечает: ""Улитка грязная, мы не возьмем ее в дом"". На этот раз меня поражает это недопонимание. То, что бабушка вложила свой смысл в мои ""слова"" (которых, конечно, еще не было). И что одна и та же вещь у разных людей вызвала разные чувства. Недостаточно просто показать на предмет, чтобы вызвать у человека ту же реакцию, которую этот предмет вызвал у меня. 
 
То же лето – воспоминания об огромной зеленой поляне, где нас выгуливают (потом окажется, это был небольшой закуток). И огромный лохматый черно-белый пес выше меня ростом. Это дядин пес, Нильс. Я потом не могла поверить, что Нильс был маленькой дворняжкой. 
 
Не знаю, к какому времени относится. Меня будят и ведут в бабушкину и дедушкину комнату. Там много человек. Сидят, стоят. Молчат. Смотрят на меня. Рядом с дверью, на стуле, сидит дядя Лёня – муж дедушкиной сестры. По крайней мере, так оно мне запомнилось. Потом я почему-то думала, что, наверное, кого-то хоронили. 
 
Кажется (возможно, это ложная память), что я помню время, когда у нас жила бывшая дядина жена с сыном – моим двоюродным братом Димой (они съехали, когда мне был год, а Диме – восемь). По крайне мере, помню, что заходила в ту комнату, где они жили, и видела там женщину. Только почему-то с девочкой, а не с мальчиком. Девочка играет в маленький мячик, у нее очень ловко получается. Я потом спрашивала у мамы – она говорит, что никаких девочек в той комнате не могло быть. 
 
Более поздние воспоминания, но я опишу именно их, потому что они очень приятные. Это уже следующее лето, мне от 2,8 до 2,11. Родители тогда снимали дачу в Тярлево. Мы с бабушкой и Димой идем вдоль гряды, на которой растет жиденький ряд деревьев, их ветки раскачиваются на ветру. Дима спрашивает: ""Бабушка, знаешь, почему ветер дует?"" Я знаю, почему. Потому что деревья воздух ветками разгоняют, конечно. Бабушка не знает. Дима объясняет ей: ""Потому что деревья ветками машут"", и они смеются. Дима большой, а понял это только что. А бабушка вообще не знала. Взрослые глупые. 
 
Поле, заросшее травой. В одном конце поля я, качаюсь на качелях. В другом – футбольные ворота. Дима бегает вокруг них с мячом. Осознание того, что у меня лучший в мире брат.","May, I was a 1.7-1.8 old. Me and my cousin (she's younger than me for a fortnight) were repairing strollers. Our strollers were lying on the ground, wheels up. I started spinning those wheels and for some reason I thought it was very important. It was such a surprise that there is something moving by my hand, by my will. And it continues moving even when I take my hand away. Such action could not be just so, and I decided that something needed is done. I, probably, repairing the stroller.
I called my cousin and tried to explain to her how important it is to turn those wheels. I hardly knew how to speak, but my sister joined me. We even have some pictures from that day.
When I saw them (late in the age of reason), I was surprised by the ordinariness of the action. It was a desacralisation for me forever.
The summer when I was from 1.8 to 1.11. An urban locality Siverskiy, where parents and aunt and uncle rented a cottage. Grandma took me into her arms and carried into the house. From the height of her growth I see in the grass my toy – snail on wheels.
I remember my surprise, I don't know why. Because of the recognition, may be. I showed the snail to granny, so she was surprised, too. The grandmother responded: ""The snail is dirty, we won't take it to the house. ' This time I was embarrassed by this misunderstanding. The fact that my grandmother put a meaning in my ""words"" (which, of course, were not words yet). And that one and the same thing evoked different feelings in different people.
It is not enough just to show on the subject, to cause the same reaction that this subject has caused me.
The same summer is about memories of a vast green meadow where we walked (it later turned out, it was a small nook). And a huge shaggy black and white dog that was taller than me.
That's my uncle's dog, Niles. I could not believe that Niles was a little pooch.
I don't know what time was it. I was woken up and led into grandmother and grandfather's room. There were a lot of people. They were sitting, standing. Silently. Looking at me. Beside the door, sitting on a chair, uncle Lenya – grandfather's sister's husband. At least, I remember it was so. Then for some reason I thought that perhaps someone's funeral.
It seems (maybe it's a false memory) I remember the time when we lived with uncle's ex-wife and son – my cousin Dima (they moved out when I was a year old, and Dima was eight). At least, I remember coming into the room where they lived, and saw a woman there. The only difference is that there was a girl instead of a boy.
Girl playing with a small ball, it was very craftily. Later I asked mom – she said that there were no girls in the room and couldn't be.
I have got more later memories, but I will describe them, because they are very pleasant. This was the next summer, I was from 2.8 to 2.11. The parents rented a cottage in Tyarlevo that time. My grandmother and Dima went along the ridge, on which a sparse number of trees were growing, their branches swaying in the wind. Dima asked: ""Grandma, do you know why the wind blows?"" I knew why. Because the trees dispersed the air with branches, of course. Grandma didn't know. Dima explained to her: ""Because the trees waving with branches,"" and they laughed. Dima was big, and he understood it right that moment. And our grandmother never knew. Grown-ups are stupid. A field of grass. At one end of the field I swing on the swings. In the other side there are goalposts. Dima running around them with a ball. The realization that I have the best brother in the world.
",,ж,7,1.5-2,фотографии,"игра, удивление, фотография, на руках, быть несомым, игрушка, животное, мысль, животное, прогулка, ложное воспоминание","кузина, родители, дядя, тетя, бабушка, дедушка, пес, много людей, муж дедушкиной сестры, дядина жена, двоюродный брат, девочка","прогулочные коляски, улитка на колесиках (игрушка), маленький мячик, качели","зеленый, черно-белый",смех,-,"удивление от того, что нечто приходит в движение от моей руки и продолжает двигаться даже когда я убираю руку, удивление от узнавания игрушки, удивление от недопонимания, огромность поляны, огромность пса, ощущение глупости взрослых, осознаниче, что у тебя лучший в мире брат","починка колясок, смотрение молчащих людей на тебя, идти вдоль гряды с жиденькими деревьями, раскачивающимися на ветру, качание на качелях","улица, дача, комната с людьми, поляна",-,"весна, лето",активное,
171,Аня,Anya,"Когда мне было года три, мама спрятала в ведерко гриб из печенья, а потом убедила меня, что он сам там вырос.","When I was three, my mom hid a mushroom cookie in the bucket, and then convinced me that it grew up there.",,ж,1,3,-,"спрятанное, фантазия, игра, взаимодействие с родственником",мама,"ведерко, печенье в виде гриба",-,-,-,-,игра со взрослым,-,-,-,пассивное,
172,-,-,"Из того, что осталось — переезд в новую квартиру, много взрослых ног вокруг, это были родители и квартировладельцы бывшие. Года четыре.  
 
Еще меня с самого детства интересовало, почему первое воспоминание, а так поздно. С другой стороны, мне и сейчас кажется, что лет до восемнадцати жизни вообще почти не было.","Everything that remains is moving into a new apartment, a lot of adults' feet around, there were parents and former homeowners. Four years old.

Even since childhood, I wondered why is it the first memory, and why is it so late. On the other hand, I now think that under eighteen years of life in general almost nothing happened.
",,-,1,4,"место проживания, чувство позднего времени воспоминания",переезд,"родители, квартировладельцы",ноги людей,-,-,-,-,переезд в новую квартиру,квартира,-,-,пассивное,
173,Володя,Volodya,"Я на санках. Санки вывозят из двери в подъезд и поворачивают направо, везя вдоль стены дома. Я флегматично сижу. Скорее всего, менее трех лет.","I'm on a sled. The sleds go out of the door to the staircase and turn right, driving along the wall of the house.
I'm sitting stolid. Likely less than three years old.",,м,1,<3,-,быть везомым,-,санки,-,-,-,флегматичность,"поворачивание направо, езда вдоль стены дома",улица,-,зима,пассивное,
174,-,-,"Мне было три года, я проснулась, никого нет. Поняла, что родители на работе. А я думаю – хоть бы записку оставили, а то я совсем одна дома.","I was three, I woke up, no one was here. I understood that the parents were at work. And I thought – at least they could leave a note, but they just left me alone at home.",,ж,1,3,-,оставаться в одиночестве,родители,записка,-,-,-,одиночество,просыпание,помещение,утро,-,-,
175,-,-,"Я в красной лежачей коляске, луплю по погремушкам и, кажется, мешаю этим маме. Мама берет мои ручки и укутывает одеялом, потом застегивает коляску. Я обижаюсь на такую мирскую несправедливость.","I'm in the red reclining pram, beating of rattles and seem to be bothering mother doing it. Mother takes my hands and wraps in a blanket then zips up the pram. I am offended by such a worldly injustice.",,-,1,-,-,активность,мама,"погремушки, одеяло",красный,звук погремушек,-,"быть укутанным, обида на несправедливость",-,коляска,-,-,активное,
176,Володя,Volodya,"Оба, кажется, относятся к тому времени, когда меня отправили на лето в санаторий в Солнечное. Если не ошибаюсь, мне тогда было три года. 
 
Первое: я играю в песочнице, вокруг сосны, между ними дорожка; и вдруг я вижу – по дорожке ко мне идут мама и папа. Идут рядом, мама в темных очках (но я все равно ее сразу же узнал) – и радость от того что я их вижу, да еще и вместе. Они развелись, когда я был совсем маленьким, возможно уже тогда. 
 
И второе: дождь, я в холле санатория перед огромным окном во всю стену. Ко мне приехала бабушка, но ее почему-то ко мне не пустили, и меня не пустили наружу из-за дождя. Передали только яблоки, которые она привезла, и вот я стою перед этим окном и грызу яблоко и плачу, а по стеклу стекают серые струйки, и за стеклом стоит бабушка в плаще.","Both seem to refer to the time when I was sent for a summer in a sanatorium in Solnechnoe. If I am not mistaken, when I was three years old.

Firstly: I'm playing in the sandbox, surrounded by pine trees, between them there is a track; suddenly I see mom and dad come to me down the path. They are coming closer, mom is in the sunglasses (but I still immediately recognized her) – and the joy that I see them, and what's more they are together. They got divorced when I was very young, maybe even then.

And the second one: rain, I'm in the resort lobby in front of a huge window in the wall. The grandmother came, but for some reason she was not allowed to visit me, and I was not allowed outside because of the rain. She only handed over the apples that she brought, and here I am standing in front of this window and biting the apple and crying, and grey trickles of rain moving down the grass, and the grandmother in the coat is standing behind the glass.",,м,2,3,нахождение в санатории,"игра, приход родителя, приход родственника, еда","мама, папа, бабушка","темные очки, яблоки (еда), бабушкин плащ (одежда родственника)",серый,-,яблоко,"радость видеть родителей вместе, плач от того, что не пустили бабушку","дорожка, дождь, струйки","песочница, холл санатория",-,лето,активное,
177,Ира,Ira,"Сижу в детской кроватке, деревянной и с перилами, и читаю книжку типа букварь, где попадается ""мамина крутка"". Я кричу: ""Папа, папа, что такое крутка?"" Приходит папа (мамы точно нет дома) и говорит: ""Не знаю, что такое крутка. Прочитай еще раз"". Я опять сосредоточенно читаю ""Ма-ми-на крут-ка"". Папа: ""прочитай внимательно второе слово"". Я опять: ""Крут-ка. Папа, что такое крутка?"" Папа – ты неправильно читаешь. Я – да нет же, правильно! Папа настаивает, что неправильно, я начинаю плакать, папа объясняет по буквам. 
 
Лет около трех, чуть меньше. В три, говорят, нормально уже читала.","Sitting in a cot, with wooden railing, and reading a book like ABC, where I found a word ""Mama's jacet"". I asked, ""Daddy, daddy, what is the jacet?"" My dad (mom's definitely not home) came and said, ""I don't know what the jacet is. Read it again"". Again, I intently read ""MA-MA's jacet"". Dad: ""Read carefully the second word."" I repeat: ""Ja-cet. ""Daddy, what is the jacet?"" Dad: ""You read that wrong"". I: ""No, I was right!"" Father insisted that it was wrong, I started crying, dad explained the spelling.

About three years old, or a little less. In three, they say, I could read well.
",,ж,1,3,умение читать,"сидение, чтение, диалог","папа, мама",книга,-,"диалог, плач",-,-,-,детская кроватка (комната),-,-,активное,
178,-,-,"Прыгаю по дивану, и периодически пытаюсь присесть попой на кнопки приемника, чтобы они нажались. И в доме все еще есть «футболист» (как я позже называла папу из-за этого внешнего вида) – в полосатых трусах и носках.","Jumping on the sofa, and occasionally trying to sit by booty on the buttons of the receiver to press them. And the house still has a ""football player"" in striped shorts and socks (as I later called my dad because of his appearance).",,ж,1,-,-,активность,папа,приемник,-,-,-,-,прыгание по дивану,диван,-,-,активное,
179,-,-,"Я с сестрой и матерью на кухне. Мать держит кастрюлю и говорит: ""Суп прокис"", а мы с сестрой смеемся и кричим: ""Суп прокис, суп прокис!"". Мне где-то года три.","My sister, I and mother are in the kitchen. The mother's holding the pot and says: ""A soup's soured"", and my sister and I start laughing and shouting: ""Soured soup, soured soup!"". I was about three years.",,-,1,3,-,смех,"сестра, мама",кастрюля с супом,-,общих голос и смех на двоих с сестрой,-,-,-,кухня,-,-,активное,
180,-,-,"Боюсь, до какого-то момента именно воспоминания позамещались палимпсестами — воспоминаниями о воспоминаниях. И где грань, неизвестно. Из палимпсестов вроде бы самое раннее — как меня года в два на прогулку одевают.","I'm afraid to a certain point my memories were replaced by palimpsests — memories of memories. And where the boarder between them is unknown. Among the palimpsests one seems to be the earliest — I was being dressed for a walk.
",,-,1,2,-,одевание,-,-,-,-,-,-,одевание на прогулку,-,-,-,пассивное,
181,Мила,Mila,"Как мы с мамой сидели на диване и я гладила ей живот, мама была беременна и там толкалась моя младшая сестренка. Мне тогда было чуть больше двух лет.  
 
Потом уже хорошо помню, как она родилась, и папа пришел за мной в детский сад, сказал, что поедем смотреть сестренку, а я очень удивилась, потому что ждала братика! Помню, что папа был в кожаной куртке и в форме, и зонтик мне мой принес, в клеточку. И мы поехали к маме с сестрой в роддом. Папа меня даже посадил на переднее сидение, мне было видно только бардачок, на нем еще наклейка была с машинкой. И я ела советские чипсы, в такой прозрачной упаковке полиэтиленовой, в полосочку, самые вкусные чипсы. 
 
А сестренку тогда особо не удалось посмотреть: палаты у мамы была этаже на третьем, не видно в окно ничего. Я тогда кричала маме, чтобы она кинула мне сестренку вниз – посмотреть. Это мне уже было два года восемь месяцев.","It's when my mother sat on the sofa and I stroked her belly, the mother was pregnant and I heard my little sister pushing in it. I was a bit more than two years old.

Then I remember how she was born, and dad came for me to the kinder garden, and said that we were going to see a sister, and I was very surprised because I was expecting a little brother! I remember that dad was in a leather jacket and uniform, and brought me a plaid umbrella. We went to my mom and my sister to the hospital. My dad even put me on the front seat, I could see only glove box and sticker with a car on it. And I was eating Soviet chips, in such a transparent plastic packaging, striped, the most delicious chips ever.

But we didn't manage to see my sister. My mom's room was on the third floor, nothing was visible in the window. I then asked to my mom to throw me a baby sister down to look at her. I was two years eight months.
",,ж,3,2; 2.67,"беременность мамы, детский сад","беременность, приход родителя, путь до роддома","мама, папа, младшая сестра","кожаная куртка, форма, зонтик, бардачок, наклейка с машинкой, чипсы в прозрачной полиэтиленовой упаковке в полоску",-,собственный голос,вкус чипсов,"удивление, что родилась сестра, а не брат","беременность мамы, глажение живота, толкание младшей сестренки в животе","диван (комната), детский сад, роддом",-,лето,активное,
182,Яна,Yana,"Как принесли младшего брата из роддома – значит, где-то три с половиной года. Новые белые босоножки – лет пять, наверно.

Дорогу на дачу в люльке мотоцикла – тоже лет пять.

Как выпрашивала экскаватор, с крутящимся колесиком, поднимающим ковш.

Массу деталей из детской поликлиники.","I remember how a little brother was brought from the hospital – so I was about three and a half years old. I remember the new white sandals – five years old, I guess. Remember the way to the cottage in the cradle of a motorcycle – also in five. Remember how I was begging for excavator, with rotating wheel that lifts the bucket. I remember a lot of details in children's clinic.",,ж,4,3.5; 5,рождение брата/сестры,рождение брата/сестры,младший брат,"новые босоножки, экскаватор, с крутящимся колесиком, поднимающим ковш (игрушка)",белый,-,-,"новизна обуви, чувство дороги",выпрашивание игрушки,"помещение, люлька мотоцикла, поликлиника",-,-,пассивное/активное,
183,-,-,"Кто-то несет меня на руках, а я вижу обрыв и реку, лето, солнечно. Потом еще помню, как идем с родителями вроде через дворы. И еще помню детскую площадку. Когда маме это описываю, она говорит, что места напоминают Тулу, где мы были, когда мне было полтора года.","Someone carrying me on hands, and I see a cliff and a river, summer, sunny.
Then I remember going with my parents across the backyards. And I also remember a children's playground. When I described it my mother, she said the place sounds like Tula, where we were when I was a year and a half.
",,-,3,1.5,обсуждение с родителями,"на руках, солнечный свет, движение","кто-то, родители",-,-,-,-,быть несомым на руках,"солнечный свет, обрыв, идти через двор","природа у реки, дворы, детская площадка",-,лето,пассивное,
184,-,-,"Было мне года три, приезжали родственники из другого города, все фотографировались у большого фонтана в центре, а я упрямилась и убегала, потому что стеснялась своего нелюбимого платья. 
 
И еще в три года помню, как читала советские газеты – по ним я как-то без чьей-либо помощи и научилась читать.","I was three years old, the relatives came from the other town, we all took photographs by the big fountain in the centre, and I was stubborn and ran away because I was ashamed of my least favourite dress.

And in three years I remember reading soviet newspapers – I learned readind due to them even without any other help.",,ж,2,3;3,-,"приезд родственников, фотографирование, активность, чтение",родственники из другого города,"большой фонтан, советские газеты",-,-,-,"упрямиться, стесняться нелюбимого платья","фотографирование, учиться читать по газетам",центр города,-,-,активное,
