№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
93,Ира,Ira,"Первое воспоминание связано с комнатой моих родителей в общаге. Я лежу в маленькой деревянной кроватке с высоким заборчиком. Мне кажется, что я даже помню на вкус лак, которым она была покрыта. Наверное, я только проснулась. Входят чьи-то ноги, и уходят. Светло и играет музыка. Какая – не помню, а в памяти она совершенно не восстанавливается. Связка звуков колокольчиков и бульканья воды.","The first highlight was my parents' room in the dorm. I'm lying in a small wooden bed with a high fence. I think I even remember the taste of the varnish that it was covered with. I guess I just woke up. Someone's feet come to me and go away. It's bright and the music playing. Which one I do not remember, and in memory it is difficult to reconstruct. A bunch of bell sounds and bubbling water.",,ж,1,-,-,"кровать, лежание, пробуждение, наблюдение, свет, музыка",чьи-то ноги,деревянная кроватка,-,музыка (связка звуков колокольчиков и бульканья воды),"вкус лака, которым покрыта кроватка",-,свет,детская кроватка (общежитие),-,-,пассивное,
94,Надя,Nadya,"Думаю к году, я сидела в манеже на даче, помню свет, людей, движения. Хорошо помню многое до трех лет, потом началось чтение, и память немного изменилась.","I think to a year, I could sit in the playpen in the country house, I remember the light, people, movements. I remember much before the age of three, then I learnt reading, and memory has changed a little.",,ж,1,1,-,"сидение, солнечный свет",люди,-,-,-,-,изменение памяти после начала чтения,"свет, движение",манеж (дача),-,-,пассивное,изменение памяти после чтения
95,Митя,Mitya,"Относится к трехлетнему возрасту. Катались с родителями на байдарках в Лосево и перевернулись. Было довольно страшно и холодно. 
 
Позже, это воспоминание обросло другими подробностями, которых практически точно не было на самом деле. Например, мне иногда казалось, что на берегу стояла наша собака, но ее с нами в тот момент не было.","It refers to a three-year age. We went kayaking with my parents in Losevo and we capsized. It was pretty scary and cold.

Later, this memory has acquired other details, which almost certainly were not real. For example, I have sometimes a thought, that there was our dog stood on the shore, but it was not with us at that moment.
",,м,1,3,поход на байдарках,"поход, ложное воспоминание",родители,байдарки,-,-,-,"страх, холод",вода,водное пространство,день,лето,-,"Пример, когда воспоминание обрастает подробностями"
96,Ксюша,Ksyusha,"Мне полтора и я бегу через лужи, держа родителей за руки. Я была в красивых колготках.","I am a year and a half, and I run through puddles, holding my parents' hands. I was in pretty tights.",,ж,1,1.5,-,бег,родители,красивые колготки,-,-,-,бег,"бег, лужи",открытое пространство,-,-,активное,
97,Никита,Nikita,"Помню, как однажды мне снился повторяющийся сон. 
 
Мы дома с моей семьей, и все такое желтое – стены, предметы в комнате. Кажется, свет падал из окна, и было лето. Я видел, как серебрилась пыль. Моя семья молчаливо что-то делала, двигались предметы и все было затяжно. 
 
Потом внезапно все ложатся спать. По очереди. Сначала мама, потом брат с сестрой. Ложатся, и в неудобных позах засыпают там, где стояли. И я начинаю слышать шаги из-за двери; что-то приближается к комнате, и я понимаю, что все должны спать, иначе произойдет нечто ужасное. 
 
Я ложусь, и закрываю глаза. Слышно, как это что-то входит в комнату. Слышен скрип пола. Оно подходит к каждому из членов семьи и говорит: «Таааак, кто-то у нас здесь не спит».  
 
И я знаю, что оно знает, что это я не сплю, но виду не подаю. Лежу и притворяюсь, слушаю, как оно осматривает остальных. В конце концов, оно доходит и до меня, почти касается моей щеки своим лицом, слушает мое дыхание. Мне ужасно страшно, но я не подаю виду. 
 
Иногда этот сон снился мне всю ночь, и я очень боялся спать.","I remember a recurring dream. 
We are home with my family, and everything is yellow there – the walls, the objects in the room. The light seemed to fall from the window, and it was summer. I've seen silver dust. My family silently did something, the items moved and it was protracted.

Then suddenly everybody goes to bed.
In turn. Firstly, the mother, then, brother and sister. Lie in uncomfortable positions or fall asleep where they stood. And I start hearing steps from behind the door; something is approaching the room, and I realize everyone needs to sleep, otherwise something terrible is gonna happen.
I lie down and close my eyes. I hear something is coming in. The creaking of the floor is heard. It approaches to each of the family members and says:
'Soooo, someone isn't asleep. '

And I know that it knows that I'm awake, but I pretend I'm not. Lie pretending, listening to how it inspects the others.
In the end, it comes to me, almost touching my cheek with its face, listening to my breath. I'm terribly scared, but I do not show it. Sometimes I dreamed it all night, and I was very afraid to sleep.
",,м,1,-,-,"сон, свет, пыль, страх","семья, мама, брат, сестра",-,желтый,скрип пола,-,страх от кошмара,"свет, пыль",сон,-,лето,пассивное,Повторящийся сон
98,Дина,Dina,"Это была переводная наклейка в ванной с изображением вороны, у которой в клюве сыр. Мне пытались внушить, что ворона летит писать, когда я отказывалась это делать. Я думаю, два или три года мне было.",It was a decal sticker in the bathroom with an image of a crow with cheese in its beak. I was tried to suggest that the crow flies to pee when I refused to do it. I think I was two or three.,,ж,1,2-3,-,рисунок,-,изображение вороны с сыром в клюве,-,-,-,-,попытка внушения,ванная,-,-,-,
99,Арина,Arina,"Мне, наверное, еще нет года, я ползаю по комнате, собираю свои игрушки и показываю их бабушке.","I was probably less than a year old, I crawl around the room, pick up my toys and show them to my grandmother.",,ж,1,<1,-,"активность, игрушки",бабушка,игрушки,-,-,-,-,-,комната,-,-,активное,
100,Саша,Sasha,"Когда меня катали на коляске в последний раз, из-за этого было очень грустно. Два года.","When I was driven in a pram at the last time, so It became a very sad moment since that. Two years old.",,-,1,2,-,"коляска, быть везомым",-,коляска,-,-,-,грусть,-,коляска (на улице),-,-,пассивное,
101,Оля,Olya,"Мне было три года, когда я второй раз полетела на север. Там мой папа летал на военных самолетах.  
 
Я спала у мамы на руках. Ей захотелось чай. На борту самолета подают исключительно очень-очень горячий чай. Я это хорошо прочувствовала. 
 
Та бедняжка стюардесса слишком рано отпустила кружку. Было больно, и я помню, как мама спрашивала у всех пену, которая помогает, но все грустно отвечали, что у них нет ее. На помощь пришел добрый военный доктор, с теплыми уколами и бинтами.  
 
Я очень люблю свой ожог. Он похож на волшебную птицу.","I was three when I flew to the North the second time of my life. My dad went by military aircrafts there.

I was sleeping in my mom's arms. She would have liked some tea. There was a very-very hot tea offered in the cabin. I felt it so clear. 

A poor flight attendant let the mug out of hand so soon. It was painful, and I remember my mother asked everybody to give her a curing foam that helps, but she was told sadly that they don't have it. A good military doctor came to the aid with his warm injections and bandages.

I DO love my burn. It looks like a magic bird.",,ж,1,3,ожог,"полет, на руках, сон, травма","мама, папа, стюардесса, военный доктор",бинты,-,-,-,"боль от ожога, теплые уколы",-,самолет,-,-,пассивное,
102,Ира,Ira,"Мне три года, и мы с родителями куда-то идем. Гуляем. Хорошо свою шапку помню. Бордовая, с ушками. И мне, когда ее одевали, становилось смешно, что у меня ушки.","I am three, and my parents and me are going somewhere. Walking. I remember my hat very well. It's grey, with ears. And when I wore it, it was funny that I had ears.",,ж,1,3,-,прогулка,родители,шапка с ушками (головной убор),бордовый,-,-,смешно от ушек шапки,ходьба,открытое пространство,-,-,пассивное,
103,Илья,Ilya,"Я привык думать, что помню себя с четырех лет, а к трем годам относятся несколько отрывочных воспоминаний. Мне раньше казалось, что вот это первое: я сижу в большой комнате на диване и играю, а по телевизору идет какая-то передача. Актеры рассказывают друг другу истории, шутят. И тут один из них показывает фокус: берет иголку, засовывает себе в висок и достает из другого виска. Видимо, меня это сильно поразило. 
 
Может быть еще, вот это: мы пришли всей семьей «на Суворовскую» (на огород моей бабушки, на улице, которая называлась Суворовская). А тогда была жива еще прабабушка, и вот мы собираемся уходить, а папа взял тогда фотоаппарат, и мы все вместе стоим на лужайке перед домом, а прабабушка говорит мне: «Сейчас оттуда вылетит птичка».","I used to think that I can remember myself from the age of four, and somewhat sketchy memories refer to the period of three. I used to think that was the first one: I'm sitting in a large room on the couch playing, and there is a show on the TV. Actors are telling stories to each other, joking. And then one of them shows a trick: he takes a needle, sticks into his head and pulls out from another side. Apparently, I was very impressed.

May be, another one is that one: we came as a whole family, at Suvorov's (to the garden of my grandmother, on the street, which was called Suvorov).
And then there was the great-grandmother still alive, and here we are going to leave, and dad took a camera, and we're all together on the front lawn, and great-grandmother tells me: 'Smile for the birdie.
",,м,2,3,-,"игра, телепередача, удивление, огород, фотографирование","папа, бабушка, прабабушка","телевизор, фотоаппарат",-,голос прабабушки,-,удивление от фокуса,"передача по телевизору, фокус","диван (комната), лужайка перед домом (на улице)",-,-,пассивное,
104,Катя,Katya,"Мне тогда было примерно года три или меньше. Мы были с мамой летом у бабушки на даче. К тому времени дом был не достроен, и мы сидели в шалаше. Началась сильная гроза, я помню, что мне было очень страшно, мне даже снилось это потом – молния и гром.","I was about three years old or less.
We were with my mother at grandma's cottage in summer. By the time the house was not built yet, and we were sitting in a tent. A storm started, I remember I was really scared, I even dreamed about it then – lightning and thunder.
",,ж,1,<3,-,испуг,"мама, бабушка",-,-,гром,-,страх от стихии,"сильная гроза, молния, гром",шалаш (дача),-,лето,пассивное,
105,Саша,Sasha,"Реконструируя события, понимаю, что была годовалым младенцем и путешествовала в красной коляске. Мы с родителями поехали на дачу к моей прабабушке. Я помню, где росли большие деревья, а где маленькие. Но не помню виды и сорта, естественно. Помню своих двоюродных братьев еще совсем молодыми, почти детьми, погоду, какие-то белые вещи, в которые была одета, папин и мамин внешний вид, собаку. В общем, это был очень счастливый момент, хотя ничего не происходило.","Reconstructing the events, I know that I was only a twelvemonth old and traveled in a red stroller. My parents went to my great-grandmother's cottage. I remember where were big trees, and where  were small ones. But I do not remember species and varieties, of course. I remember my cousins when they were very young, almost children, the weather, some white stuff, which I was dressed in, daddy and mama's appearance, the dog. In general, it was a very happy moment, even though nothing has happened.
",,ж,1,1,-,"счастливый момент, наблюдение","родители, прабабушка, двоюродные братья, собака",деревья,"красный, белый",-,-,-,"погода, внешний вид родителей, двоюродных братьев",коляска (дача),-,-,пассивное,
106,Антон,Anton,"Около двух-трех лет, лежу на диване и не понимаю, зачем я на нем лежу.

Боюсь остаться один, всю жизнь до десяти лет, боюсь всего вокруг. В десять-одиннадцать влюбляюсь. С тех пор люблю одиночество. И с того момента жизнь, мир и я становимся одним. 
 
До того, как влюбиться, я не понимал, что за абсурд происходит вокруг – школа, детсады, однообразные дни. Весело, конечно, было иногда: снежные горки, собак погладить, качели, Новый год и подарки. Но это все ничто по сравнению с тем, как мир танцевал и изливался на меня водопадом музыкальных и светлых искр, когда лишь мои глаза видели, как девочка – особенная – едет на велосипеде среди одуванчиков к реке.","About two-three years old, I'm lying on the couch and I don't see why I'm here. I'm afraid to be alone, a lifetime up to ten years I was afraid of everything around. In ten or eleven I fell in love.
Since that moment I like being alone.
And since that moment, the Life, the World and I become a single entity.
Before I fell in love, I didn't realize what kind of nonsense is happening all around – school, kinder gardens, and monotonous days. Fun, of course, happened sometimes: snow hills, dogs to pet, swings, and New year gifts.
But it's nothing to be compared with the way World danced and poured out upon me with waterfalls of music and bright sparks, when my eyes saw the girl – a special one – riding a bicycle among the dandelions to the river.",,м,2,2-3;10-11,влюбленность,"лежание, непонимание, влюбленность, одиночество",девочка,"велосипед, одуванчики",-,-,-,"боязнь остаться одному, абсурдность происходящего, счастье от влюбленности",-,диван (помещение),-,-,-,Два сильно разнесенных во времени воспоминания
107,Степа,Stepa,"Я стою в коридоре, мне около полутора лет, смотрю на включатель света. Он расположен невообразимо высоко, и мне очень хочется поиграть с ним, включить свет. Но сам я не могу, а взрослых вокруг нет. А я все наблюдаю за ним, и думаю, как мне добраться до него. Возможно, чуть позже я пошел за стулом.  
 
Не знаю, сколько мне лет, я лежу в своей кроватке. Ночь, темно. Родители спят на соседней кровати, и спорят о том, понимаю я их или нет. А я не знаю, как им объяснить, что мне понятна их речь, говорить я еще не умею. Поэтому я начинаю плакать.","I'm standing in the hallway, I am about one and a half, looking at the light switch. It is located unimaginably high, and I really want to play with it, to turn on the lights. But I can't, and there are no adults around. I watch it and think, 'How do I get it?' Perhaps, later I went over to take a chair.

Don't know how old I was, I'm laying in my crib. The night, it is dark. Parents are in the bed nearby, arguing whether I understand them or not. And I don't know how to explain to them that I understand their speech, because I still do not know how to speak. So I start crying.
",,м,2,1.5,неумение говорить,"высота предмета, невозможность дотянуться, лежание, темнота, плач",родители,выключатель света,-,"спор родителей, собственный плач",-,"высота выключателя света, неумение объяснить что понимаешь речь, но но не умеешь говорить",-,"коридор, комната",ночь,-,-,
108,Мадлен,Madeleine,"Года два. Красный ковер на стене и сестра старшая, мы спали в одной кровати и на ночь пили молоко.","About two years old. A red carpet was on the wall and there was elder sister, we slept in the same bed at night and drank the milk before sleeping.",,ж,1,2,-,"наблюдение, взаимодействие с родственником",старшая сестра,ковер,красный,-,-,-,молоко,-,-,-,пассивное,Опосредовано вкус - вкус молока на ночь
109,Аня,Anya,"Я иду за хлебом одна! И мне ужасно страшно идти в магаз в соседнем доме по улице, где ходит столько людей. 
 
Продают мою коляску маленькой девочке, и спрашивают меня: «Точно будешь пешком ходить?», а я: «Маленькой девочке нужнее». Первое сознательное решение. 
  
Мама с подружкой сидит на лавке, и спрашивают меня: «Ты умеешь писать?» Я отвечаю, что умею, беру ручку, начинаю рисовать вязь на бумажке, уверена, что я действительно пишу, а они смеются надо мной.","I went for the bread alone! And I'm terribly afraid to go shopping to the next building down the street where there were crowds of people. They sell my stroller to another little girl and ask me: ""Are you sure, you are going to walk?"" and I: 'Little girl needs it more.' The first conscious decision.
Mom with a friend sitting on a bench, ask me, 'Do you know how to write?'
I answer that I can, I take a pen, begin to draw some rolling lines on paper, I'm sure I do write, and they laugh at me.
",,ж,3,-,-,"впервые, страх, вопрос взрослого, смех",мама,коляска,-,смех мамы с подружкой,-,"страх самостоятельного похода в магазин, новизна сознательного решения",-,-,-,-,активное,"Нередкий пример самостоятельности, комической ситуации"
110,Слава,Slava,"Мы с семьей сидели в аэропорту на рулонах, ожидая, когда заправится наш самолет. Мне было пара лет, наверно.","My family was sitting at the airport on the rolls, waiting our plane to get refueled. I was a couple of years old probably.",,-,1,2,-,ожидание самолета,семья,рулоны,-,-,-,-,-,аэропорт,-,-,пассивное,
111,Шура,Shura,"Бабушка Шура (меня назвали в честь нее, мы с ней Сан Санны) повезла меня в Кострому, ее родной город. Отчетливо помню, как мы с ней перебегали дорогу и пробирались под вагонами товарного поезда, ходили смотреть цыпляток, мое удивление, что они не желтенькие, как в книжках, а рябы; еще саму процедуру крещения, мое недоумение, холод и стыд. 
 
Потом как я играю на берегу Волги с красной водомеркой, а на противоположном берегу вижу церковь, и бабушка про нее рассказывает. Крестили меня девятого июня, мне было четыре годика, ровно через месяц бабушка умерла.","Grandma Shura (I was named after her) took me to Kostroma, her hometown. Distinctly remember, as we ran across the road and crept under the wagons of a freight train, went to see chickens, and my surprise that they are not yellow like in the books, but speckled; yet the whole procedure of baptism, my confusion, cold and shame.
Then as I play on the bank of the Volga with a red water strider, and on the opposite bank I see the Church, or grandma tells about it. I was baptized on the ninth of June, I was four years old, exactly a month later my grandmother died.
",,ж,4,4,"крещение, смерть родственника","поезд, животное, крещение, недоумение, игра",бабушка,"цыплята, водомерка",рябой,рассказ бабушки,-,"удивление цветом цыплят, недоумение, холод стыд",крещение,"дорога, под вагонами поезда, берег реки",день,август,активное,
112,Лёня,Lenya,"Мне четыре-пять лет, и я с папой запускаю воздушного змея.","I was four or five years old, and me with my father are flying a kite.",,м,1,4-5,-,"игра, взаимодействие с папой",папа,воздушный змей,-,-,-,-,-,открытое,-,-,активное,
113,Карина,Karina,"У меня в огороде был свой участочек земли, я там сажала зелень и выкорчевывала сорняки. Однажды я посадила кукурузу, и она, как водится, проросла и стала расти. Как-то просыпаюсь я утром и вижу, что кукуруза в три раза больше, чем была накануне, это на меня произвело неизгладимое впечатление. В возрасте лет пяти, наверно. 
 
Впоследствии выяснилось, что бабушка со своего кукурузного поля пересадила большую кукурузу вместо моей.","In our garden I had a spot of ground where I planted greens and root out the weeds. Once I planted corn, and it, as usual, sprouted and began to grow. Some day I woke up in the morning and saw that corn is three times more than it was before, it gave me a lasting impression. At the age of five years old, I guess.

Later it was revealed that my granny transplanted a big corn from her field instead of mine.",,ж,1,5,-,удивление,бабушка,"зелень, сорняки, кукуруза",-,-,-,неизгладимое впечатление,-,огород,утро,лето,активное,пример когда потом выясняются обстоятельства
114,Миша,Misha,"Первое смутное воспоминание, точнее просто некая картина в голове, возможно даже непроизвольно отредактированная: сижу на кухне под табуреткой, толпятся какие-то незнакомые люди, с ужасным шумом работает кофемолка красная... и бабушка стоит. Кстати, это же и единственное воспоминание о моей бабушке. Ориентировочный возраст два года. 
 
И примерно в том же возрасте есть отчетливое воспоминание о том, как мне сестра случайно разбила голову деревянным шариком. Помню, как сидели с ней в разных сторонах коридора и перекатывали друг другу красный деревянный шар, пока он как-то неудачно не отскочил мне в висок, срикошетив от плинтуса. Вот это и можно, скорее всего, назвать настоящим первым воспоминанием: помню и игру, и боль, и медсестру, бинтующую мне голову.","The first vague memory, rather just a certain picture in the mind, perhaps even inadvertently edited: sitting in the kitchen under the stool, some strangers crowded, with a terrible noise red coffee grinder is running... and grandma is standing. By the way, it's the only memory about my grandmother. The approximate age is two years old.
And at about the same age there is a clear memory of how my sister accidentally hit my head with a wooden ball.
I remember sitting with her in different sides of the corridor and rolling a red wooden ball to each other, yet it somehow pop into the head, ricocheted off the floor plinth.
This is likely a real first memory:
I remember the game, and the pain, and the nurse bandaging my head.",,м,2,2,-,"смутное, сидение, единственное воспоминание о родственнике, игра, травма","незнакомые люди, бабушка, сестра, медсестра","табуретка, кофемолка, деревянный шарик",красный,ужасный шум кофемолки,-,боль,игра,"кухня, коридор",-,-,"пассивное, активное","пример с ""настоящим первым воспоминанием"" и предвоспоминанием, два красных предмета"
115,Саша,Sasha,"Мне был годик, и мама меня подвела к козе. Я потрогала ее за вымя, а потом поднесла руки к носу и до сих пор помню запах теплого молока и грязи.

Белую печку в деревне. Моя кроватка стояла рядом с ней.","I was one year old, and mom let me down to the goat. I touched its udder, and then raised my hands to nose and I still remember the smell of warm milk and dirt. White stove in the village. My crib was next to it.",,ж,2,1,-,животное,"мама, коза","вымя, печка, кроватка",белый,-,"теплое молоко, грязь",-,-,деревня,-,-,пассивное,
116,Миша,Misha,"Я еще сидел в коляске, меня везли родители по одному из киевских проспектов. Был недоволен: хотел домой. 
 
Помню детскую кровать со спицами. Лежу в ней и пью кефир. Темно, зову маму. На кухне шум, как бывает ранним вечером. 
 
А по утрам сверху играл сосед-музыкант. Помню сны того периода. Относятся не позже, чем к двум годам, некоторые раньше.","I was still sitting in the pram, I was carried by my parents down one of the Kiev avenue. I was unhappy, because wanted to go home. I remember the crib with spokes. I'm lying in it and drinking kefir. It's dark, I call mom. The kitchen noises, as it happens in the early evening.
And in the mornings a neighbour-musician always played. I remember dreams of that period. They refer to not later than two years, some of them - sooner.
",,м,3,2,-,"недовольство, кровать с прутьями, темнота, музыка",родители,-,-,"шум кухни, музыка соседа-музыканта",кефир,хотеть домой,сны,"коляска, детская кровать","вечер, утро",-,пассивное,
117,Саша,Sasha,"Я помню, как я лежу в кроватке детской, а надо мной очень много разных рук и не видно людей.","I remember I was lying in crib, and a lot of different hands are above me, but I do not see people.",,-,1,-,-,кровать,-,руки людей,-,-,-,-,-,детская кроватка,-,-,пассивное,
118,Аня,Anya,"Возможно, оно связано с бородатыми мужчинами, когда к отцу пришел друг N с бородой, и как мне стало страшно тогда, и как я пряталась от него. Последний раз помню такую свою жуткую истерику, когда мама привела меня к своему новому мужчине, а он тоже заросший был. Вот это была истерика. Двойная. Жуткий страх от того, что непонятно, кто это такой и почему это вдруг мама теперь с  ним будет, плюс он еще усатый.","Perhaps, it is associated with bearded men, when my father's friend N came to us - a bearded one, and I felt fear that time, and I hid from him. Last time I remember such terrible tantrum when my mother brought me to her new boyfriend, and he was overgrown, too. That was a real hysteria. Double.
A terrible fear of what is not clear, who is this and why mom is with him now, plus he has got mustache.
",,ж,1,-,-,испуг,"мама, усатые и бородатые мужчины",-,-,-,-,боязнь бородатых и усатых мужчин,-,-,-,-,-,
119,Ник,Nick,"Мои руки тянутся к погремушкам, что висят надо мной, я лежу в детской кроватке с высокими краями. В этом воспоминании больше не визуального, я скорее помню ту самую невозможность дотянуться до игрушки, даже стоя, и какую-то безысходность, что ли, оттого, что непонятно, сколько мне так еще лежать и когда же все это кончится.","My hands are drawn to the toys that hang above me, I'm lying in a cot with high sides. In this memory there is less visual, I'd rather remember an inability to reach toys, even standing, and some kind of despair or something, because it is unclear how long should I lie still and when it will all end.",,-,1,-,-,"невозможность дотянуться, лежание",-,погремушки,-,-,-,"невозможность дотянуться до игрушки, безысходность",-,детская кроватка,-,-,активное,
120,Ольга,Olga,"Меня везли в коляске по улице, весной. Коляска была красная, я помню точно. Теперь мне кажется, что это была улица, идущая от дома моей бабушки. Наверное, мне было год или чуть больше. 
 
Еще помню, как старшая сестра почти перевернула коляску со мной, четко вижу это место, серый асфальт. Мама выбежала из магазина и кричала. Мне было года два.","I was carried in the stroller down the street, in spring. The stroller was red, as I remember. Now I think it was a street leading from my grandmother's house. I was probably a year or a bit more.
I still remember my elder sister almost flipped the stroller with me, I clearly see that place, the grey asphalt. Mom came out of the store and screamed. I was two.
",,ж,2,1-2,-,быть везомым,"бабушка, мама, сестра",-,"красный, серый",крик мамы,-,-,-,"открытое пространство, улица",-,весна,пассивое,
121,Ваня,Vanya,Зимой в Нефтеюганске большая собака вытащила меня из ледяного домика за меховую шапку. Мне было года четыре.,"Winter in Nefteyugansk, a big dog pulled me out of the ice house by a fur hat. I was four years old.",,м,1,4,-,животное,собака,меховая шапка,-,-,-,-,-,ледяной домик,-,зима,пассивое,
122,Аня,Anya,"Как теперь понять трудно, где ты сам помнишь, а где тебе рассказали. Или на фото увидел себя, и ты стал как бы помнить. 
 
В порядке уменьшения возраста:
- конфетка после сна под подушкой за хороший сон
- в садике санки, дорога, папа и холодно 
- лопухи большие у песочницы, запах помню песка, 
- баба Капа (слово такое и тетенька) 
- может, мама, тепло от нее...","As it is now difficult to understand where you remember something yourself and where they told it to you. Or on the photo you see yourself, and start kinda remembering it.

In order of decreasing age:
- a candy after bedtime under my pillow for a good night's sleep 
- in the garden sleds, a road, Dad and cold 
- burdock leaves near the sandbox, I remember the smell of sand
- auntie Kapa
- maybe, Mom, the warmth of her...
",,ж,5,-,-,"ложное воспоминание, лакомство","мама, папа, баба Капа","конфета под подушкой, лопухи, санки",-,-,песок,"холод дороги, тепло от мамы",-,"детский сад, песочница",-,"зима, лето",-,О трудности выделения воспоминания.
123,Саша,Sasha,"Мне два года, и мы летим на самолете в Алматы к бабушке и дедушке по папиной линии. Помню, что меня мама держала на руках, что иллюминатор светился чем-то белесым, и страшно хотелось писать. Одновременно себя я чувствовала лоскуточком, насколько сейчас могу судить об этом ощущении. Маленьким, сизым и мягоньким. Помню, что одна прядка белесых волос так выросла, что закрыла глаз на пару секунд.","I'm two years old, and we go by plane to Almaty to the grandparents on my father's side. I remember that my mother held me in her arms and a window shone somehow whitish, and I wanted to pee so much.
At the same time I felt being a rag, as far as I can think now about this feeling.
Little, glaucous and smooth.
I remember that one strand of white hair had grown so large that  closed one eye for a few seconds.
",,ж,1,2,-,"полет, на руках","бабушка, дедушка, мама",иллюминатор,белесый,-,-,"хотеть в туалет, чувствовать себя лоскуточком",-,самолет,-,-,пассивное,
124,Маша,Masha,"Я помню, что мне года четыре, а может и меньше, и я у деда на животе сижу, мы на даче. А потом он нам с сестрой говорит «играем в пылесосиков», и мы собираем с ковра мелкие игрушки, ниточки, всякую маленькую фигню. Он нам так мелкую моторику тренировал.","I remember that I was four years old, maybe less, and I'm sitting on my grandfather's belly, we are in the country. And then he said to me and my sister, ""playing vacuum cleaners"" and we gather small toys, strings, all sorts of little stuff from the carpet. It was training of fine motor skills for us.",,ж,1,<4,-,"игра, обучение","дедушка, сестра","мелкие игрушки, нитки",-,голос,-,-,"игра, тренировка мелкой моторики",дача,-,-,активное,
125,Один японец 34-х лет,One Japanese of 34 years old,"My first memory is maybe I'm staying kindergarten with some friends. And there is small white barking dog. Outside is small pool, my mama bring me on the mama's big bicycle from kindergarten.","Мое первое воспоминание это, по-видимому, то как я остаюсь в детском саду с друзьями. Лает белая собачка. Снаружи небольшой бассейн. Мама повезла меня из детсада на своем большом велосипеде.",,м,1,-,-,"стояние, животное, велосипед","друзья, мама, собака",велосипед,-,лай,-,-,-,детский сад,-,-,пассивное,
126,Таня,Tanya,"Мне где-то четыре года. На мне платье, которое мне очень нравится. Оно белое с голубым и красной вязаной розочкой. Смотрю на нее и иногда трогаю. Я сижу на стульчике в ряду детей, и мы с воспитательницей играем в «колечко-колечко, выйди на крылечко». Мне очень интересно.","About four years old. I am wearing a dress that I really like. It is white with blue and red knitted rosette. I look at it and sometimes touch. I'm sitting on a chair in a row of children, and my teacher playing 'ring-a ring o'roses, laps ful of posies'. I am very interested.",,ж,1,3-4,-,игра,"дети, воспитательница","платье, вязаная розочка","белый, голубой, красный",-,-,интерес,игра,детский сад,-,-,активное,
127,Лева,Leo,"Мне года два, я сижу в углу и кручу юлу, волчок, и вот он крутится, будто центр всего мира, больше нет ничего вокруг, и не нужно.","I am two years old, I'm sitting in the corner and twisting a whirligig, or a spinning top, and it is spinning, as if it was the center of the World, and there's nothing else around and there is no need for the rest to be.",,м,1,2,-,игра,-,юла (игрушка),-,-,-,-,-,угол комнаты,-,-,-,
128,Даша,Dasha,"Мама держит меня на руках в бассейне, я плачу, худая женщина в очках протягивает мне соску на веревочке. На стене бассейна витраж – огромная цветная рыба.","Mother is holding me in the pool, I am crying, a thin woman with glasses is giving me a pacifier on a string. On the wall of the pool there is stained glass – a huge colored fish.",,ж,1,-,-,"плач, наблюдение","мама, женщина","соска, витраж с рыбой",цветной,собственный плач,-,плач,-,бассейн,-,-,-,
129,Саша,Sasha,"Оно не очень приятное. Я, восхищаясь своими белыми носочками, залезла на пылесос и поскользнулась. Родители решили, что девочке с раздвоенным языком будет нелегко жить, и повезли штопать. Запомнила кровь на носочках и то, как на пылесосе стояла.  
 
Я поздно научилась говорить и очень рано рисовать. Помню гелиевого большого цыпленка. Помню, как нарисовала его, а еще обои с ирисами, которые не давали мне покоя, и все время чем-то мерещились: то чудищем, то птицею диковинной. 
 
Около четырех. Гостила у бабушки с дедушкой, однажды утром проснулась, а дома никогошеньки нет. Я сразу поняла, что случилось страшное... Вышла на балкон и начала кричать: «Помогите! Бабушку украли, а дедулю машина сбила, когда он возвращался с работы!» Орала долго, пока они не вернулись из магазина.","It's not so pleasant. Admiring my white socks, I climbed onto a vacuum cleaner and slipped away. The parents decided that it would not be easy to live as a girl with the forked tongue, and got me to stitch it. I remember the blood on the socks and the cleaner standing nearby.
Later I learned to speak and to draw very early. I remember a helium big chicken. I remember how I painted it, and even wallpapers with irises, which haunted me, and all the time I saw some things on them: either monster, or a strange bird.
About four. Visiting the grandparents, one morning I woke up in the house where not even a single person was. I immediately realized that the worst had happened... I went to the balcony and started screaming: Help! The grandmother was stolen, and grandfather was hit by a car when he was returning from work! I was screaming so long til the moment when they get back from the store.
",,ж,3,4,подтверждение родственников,"одежда, поскальзывание, травма, мерещится, пробуждение, крик","родители, бабушка, дедушка","носочки, пылесос, шарик в форме цыпленка, обои с ирисами","белый, кровь",собственный крик,-,"восхищение одеждой, поскальзывание","рисование, додумывание ситуации, кровь на носочках","комната, балкон",утро,-,-,Превращение объекта в чудовище.
